Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
181,tt2245084,2024-06-17,2024-06-17,,"Big Hero 6","Big Hero 6",https://www.imdb.com/title/tt2245084/,Movie,7.8,102,2014,"Animation, Action, Adventure, Comedy, Crime, Family, Sci-Fi",543777,2015-01-30,"Don Hall, Chris Williams"
182,tt14056670,2024-06-19,2024-06-19,,"Paappan","Paappan",https://www.imdb.com/title/tt14056670/,Movie,6.7,169,2022,"Crime, Drama, Mystery, Thriller",2672,2022-07-29,"Joshiy"
183,tt15516546,2024-06-28,2024-06-28,,"Ela Veezha Poonchira","Ela Veezha Poonchira",https://www.imdb.com/title/tt15516546/,Movie,7.3,104,2022,"Crime, Mystery, Thriller",3189,2022-07-15,"Shahi Kabir"
184,tt8108202,2024-06-28,2024-06-28,,"Stree","Stree",https://www.imdb.com/title/tt8108202/,Movie,7.5,128,2018,"Comedy, Horror",47127,2018-08-31,"Amar Kaushik"
185,tt9214772,2024-07-15,2024-07-15,,"Monkey Man","Monkey Man",https://www.imdb.com/title/tt9214772/,Movie,6.8,121,2024,"Action, Crime, Thriller",97879,2024-04-05,"Dev Patel"
186,tt2096673,2024-07-15,2024-07-15,,"Inside Out","Inside Out",https://www.imdb.com/title/tt2096673/,Movie,8.1,95,2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy",895090,2015-07-24,"Pete Docter, Ronnie Del Carmen"
187,tt22022452,2024-07-15,2024-07-15,,"Inside Out 2","Inside Out 2",https://www.imdb.com/title/tt22022452/,Movie,7.5,96,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sport",238476,2024-06-14,"Kelsey Mann"
188,tt26548265,2024-07-15,2024-07-15,,"Maharaja","Maharaja",https://www.imdb.com/title/tt26548265/,Movie,8.3,141,2024,"Action, Crime, Drama, Thriller",77790,2024-06-14,"Nithilan Saminathan"
189,tt24485052,2024-07-15,2024-07-15,,"Sirf Ek Bandaa Kaafi Hai","Sirf Ek Bandaa Kaafi Hai",https://www.imdb.com/title/tt24485052/,Movie,8.0,132,2023,"Crime, Drama, Thriller",30865,2023-05-23,"Apoorv Singh Karki"
190,tt7618184,2024-07-15,2024-07-15,,"Mulk","Mulk",https://www.imdb.com/title/tt7618184/,Movie,7.2,140,2018,"Drama",22311,2018-08-03,"Anubhav Sinha"
191,tt6692354,2024-07-15,2024-07-15,,"Ittefaq","Ittefaq",https://www.imdb.com/title/tt6692354/,Movie,7.2,105,2017,"Mystery, Thriller",16638,2017-11-03,"Abhay Chopra"
192,tt28259207,2024-07-19,2024-07-19,,"Kill","Kill",https://www.imdb.com/title/tt28259207/,Movie,7.4,105,2023,"Action, Crime, Drama, Thriller",45212,2024-07-05,"Nikhil Nagesh Bhat"
193,tt1448754,2024-07-24,2024-07-24,,"Thanksgiving","Thanksgiving",https://www.imdb.com/title/tt1448754/,Movie,6.2,106,2023,"Comedy, Horror, Mystery, Thriller",78410,2023-11-17,"Eli Roth"
194,tt21626284,2024-08-03,2024-08-03,,"Laapataa Ladies","Laapataa Ladies",https://www.imdb.com/title/tt21626284/,Movie,8.3,122,2023,"Comedy, Drama",57073,2024-03-01,"Kiran Rao"
195,tt11075264,2024-08-03,2024-08-03,,"Thallumaala","Thallumaala",https://www.imdb.com/title/tt11075264/,Movie,7.0,148,2022,"Action, Comedy, Drama",7917,2022-08-12,"Khalid Rahman"
196,tt20873118,2024-08-05,2024-08-05,,"Suzhal - The Vortex","Suzhal - The Vortex",https://www.imdb.com/title/tt20873118/,TV Series,8.1,46,2022,"Crime, Drama, Thriller",11191,2022-06-17,
197,tt28566478,2024-08-09,2024-08-09,,"Lover","Lover",https://www.imdb.com/title/tt28566478/,Movie,7.1,145,2024,"Drama",3347,2024-02-09,"Prabhu Ram Vyas, Madhan"
198,tt1646959,2024-08-09,2024-08-09,,"Bedevilled","Kim Bok-nam salinsageonui jeonmal",https://www.imdb.com/title/tt1646959/,Movie,7.2,115,2010,"Drama, Horror, Thriller",19031,2010-09-02,"Cheol-soo Jang"
199,tt11280740,2024-08-10,2024-08-10,,"Severance","Severance",https://www.imdb.com/title/tt11280740/,TV Series,8.7,50,2022,"Drama, Mystery, Sci-Fi, Thriller",360993,2022-02-18,
200,tt6972140,2024-08-16,2024-08-16,,"Blackmail","Blackmail",https://www.imdb.com/title/tt6972140/,Movie,7.2,138,2018,"Comedy, Drama, Thriller",13188,2018-04-06,"Abhinay Deo"
201,tt12687276,2024-08-18,2024-08-18,,"Kala","Kala",https://www.imdb.com/title/tt12687276/,Movie,6.7,130,2021,"Action, Thriller",4175,2021-03-25,"Rohith V.S."
202,tt6340112,2024-08-25,2024-08-25,,"Bogan","Bogan",https://www.imdb.com/title/tt6340112/,Movie,6.4,160,2017,"Action, Fantasy",2274,2020-01-01,"Lakshman"
203,tt27510174,2024-09-01,2024-09-01,,"Stree 2","Stree 2: Sarkate Ka Aatank",https://www.imdb.com/title/tt27510174/,Movie,6.9,147,2024,"Comedy, Horror",45566,2024-08-15,"Amar Kaushik"
204,tt11732164,2024-09-02,2024-09-02,,"Pathu Thala","Pathu Thala",https://www.imdb.com/title/tt11732164/,Movie,6.7,151,2023,"Action, Crime, Drama",10257,2023-03-30,"Obeli N. Krishna"
205,tt14099334,2024-09-06,2024-09-06,,"Bhediya","Bhediya",https://www.imdb.com/title/tt14099334/,Movie,6.7,156,2022,"Comedy, Horror, Thriller",28654,2022-11-25,"Amar Kaushik"
206,tt27995594,2024-09-06,2024-09-06,,"Munjya","Munjya",https://www.imdb.com/title/tt27995594/,Movie,6.3,123,2024,"Comedy, Horror",28264,2024-06-07,"Aditya Sarpotdar"
207,tt12735488,2024-09-06,2024-09-06,,"Kalki 2898-AD","Kalki 2898-AD",https://www.imdb.com/title/tt12735488/,Movie,7.0,180,2024,"Action, Adventure, Sci-Fi",73794,2024-06-27,"Nag Ashwin"
208,tt25400540,2024-09-08,2024-09-08,,"Guruvayoor Ambalanadayil","Guruvayoor Ambalanadayil",https://www.imdb.com/title/tt25400540/,Movie,6.6,132,2024,"Comedy",5940,2024-05-16,"Vipin Das"
209,tt5200962,2024-09-10,2024-09-10,,"Kadhalum Kadandhu Pogum","Kadhalum Kadanthu Pogum",https://www.imdb.com/title/tt5200962/,Movie,7.5,136,2016,"Comedy, Drama, Romance",4149,2016-03-11,"Nalan Kumarasamy"
210,tt6857112,2024-09-13,2024-09-13,,"Us","Us",https://www.imdb.com/title/tt6857112/,Movie,6.8,116,2019,"Horror, Mystery, Thriller",383039,2019-03-22,"Jordan Peele"
211,tt0995740,2024-09-16,2024-09-16,,"No Smoking","No Smoking",https://www.imdb.com/title/tt0995740/,Movie,7.3,128,2007,"Drama, Horror, Mystery, Thriller",10769,2007-10-26,"Anurag Kashyap"
212,tt26233598,2024-09-16,2024-09-16,,"Raayan","Raayan",https://www.imdb.com/title/tt26233598/,Movie,6.5,145,2024,"Action, Crime, Drama, Thriller",13545,2024-07-26,"Dhanush"
213,tt4761916,2024-09-16,2024-09-16,,"Unfriended: Dark Web","Unfriended: Dark Web",https://www.imdb.com/title/tt4761916/,Movie,6.0,92,2018,"Horror, Mystery, Thriller",42206,2018-08-10,"Stephen Susco"
214,tt9288030,2024-10-06,2024-10-06,,"Reacher","Reacher",https://www.imdb.com/title/tt9288030/,TV Series,8.0,50,2022,"Action, Crime, Drama, Thriller",280965,2022-02-04,
215,tt21626774,2024-10-06,2024-10-06,,"Sector 36","Sector 36",https://www.imdb.com/title/tt21626774/,Movie,7.1,123,2024,"Crime, Drama, Thriller",26548,2024-09-13,"Aditya Nimbalkar"
216,tt27561663,2024-10-06,2024-10-06,,"Garudan","Garudan",https://www.imdb.com/title/tt27561663/,Movie,7.1,133,2024,"Action",3538,2024-07-03,"R.S. Durai Senthilkumar"
217,tt26903104,2024-10-11,2024-10-11,,"Saripodhaa Sanivaaram","Saripodhaa Sanivaaram",https://www.imdb.com/title/tt26903104/,Movie,7.1,166,2024,"Action, Crime, Drama, Thriller",13051,2024-08-28,"Vivek Athreya"
218,tt7335184,2024-10-11,2024-10-11,,"You","You",https://www.imdb.com/title/tt7335184/,TV Series,7.6,45,2018,"Crime, Drama, Romance, Thriller",356279,2018-12-26,
219,tt9680440,2024-10-14,2024-10-14,,"Paatal Lok","Paatal Lok",https://www.imdb.com/title/tt9680440/,TV Series,8.2,44,2020,"Action, Crime, Drama, Mystery, Thriller",74113,2020-05-15,
220,tt1821480,2024-10-15,2024-10-15,,"Kahaani","Kahaani",https://www.imdb.com/title/tt1821480/,Movie,8.1,122,2012,"Mystery, Thriller",69324,2012-03-16,"Sujoy Ghosh"
221,tt7493974,2024-10-21,2024-10-21,,"Bodyguard","Bodyguard",https://www.imdb.com/title/tt7493974/,TV Series,8.0,60,2018,"Crime, Drama, Mystery, Thriller",166847,2018-08-26,
222,tt5775536,2024-10-27,2024-10-27,,"My Client's Wife","My Client's Wife",https://www.imdb.com/title/tt5775536/,Movie,6.2,106,2020,"Mystery, Thriller",1168,2020-07-31,"Prabhakar Meena Bhaskar Pant"
223,tt15474916,2024-10-27,2024-10-27,,"Smile","Smile",https://www.imdb.com/title/tt15474916/,Movie,6.5,115,2022,"Horror, Mystery, Thriller",231829,2022-09-28,"Parker Finn"
224,tt29268110,2024-10-27,2024-10-27,,"Smile 2","Smile 2",https://www.imdb.com/title/tt29268110/,Movie,6.7,127,2024,"Horror, Mystery, Thriller",131971,2024-10-18,"Parker Finn"
225,tt27911000,2024-10-29,2024-10-29,,"Terrifier 3","Terrifier 3",https://www.imdb.com/title/tt27911000/,Movie,6.3,125,2024,"Horror",59700,2024-10-11,"Damien Leone"
226,tt28512693,2024-10-29,2024-10-29,,"Maa Oori Polimera 2","Maa Oori Polimera 2",https://www.imdb.com/title/tt28512693/,Movie,7.0,125,2023,"Horror",950,2023-11-03,"Anil Viswanath"
227,tt33291871,2024-11-02,2024-11-02,,"Mathu Vadalara 2","Mathu Vadalara 2",https://www.imdb.com/title/tt33291871/,Movie,7.0,139,2024,"Action, Comedy, Crime",1919,2024-09-13,"Ritesh Rana"
228,tt9389998,2024-11-02,2024-11-02,,"Pushpa: The Rise - Part 1","Pushpa: The Rise - Part 1",https://www.imdb.com/title/tt9389998/,Movie,7.6,179,2021,"Action, Crime, Drama, Thriller",98986,2021-12-17,"Sukumar"
229,tt29623480,2024-11-06,2024-11-06,,"The Wild Robot","The Wild Robot",https://www.imdb.com/title/tt29623480/,Movie,8.2,102,2024,"Animation, Adventure, Family, Sci-Fi",207314,2024-10-18,"Chris Sanders"
230,tt27540542,2024-11-11,2024-11-11,,"Lucky Baskhar","Lucky Baskhar",https://www.imdb.com/title/tt27540542/,Movie,8.0,148,2024,"Crime, Drama, Thriller",39541,2024-10-31,"Venky Atluri"
231,tt27118357,2024-11-11,2024-11-11,,"Amaran","Amaran",https://www.imdb.com/title/tt27118357/,Movie,8.1,167,2024,"Action, Biography, Drama, War",23192,2024-10-31,"Rajkumar Periasamy"
232,tt1645170,2024-11-16,2024-11-16,,"The Dictator","The Dictator",https://www.imdb.com/title/tt1645170/,Movie,6.5,83,2012,"Comedy",360248,2012-05-16,"Larry Charles"
233,tt15380608,2024-11-16,2024-11-16,,"Bagheera","Bagheera",https://www.imdb.com/title/tt15380608/,Movie,6.7,158,2024,"Action, Crime, Thriller",8572,2024-11-08,"D.R. Suri"
234,tt15980138,2024-11-23,2024-11-23,,"Kishkindha Kaandam","Kishkindha Kaandam",https://www.imdb.com/title/tt15980138/,Movie,8.0,133,2024,"Drama, Mystery, Thriller",15109,2024-09-12,"Dinjith Ayyathan"
235,tt5662932,2024-11-23,2024-11-23,,"Psycho Raman","Raman Raghav 2.0",https://www.imdb.com/title/tt5662932/,Movie,7.3,133,2016,"Crime, Drama, Thriller",17211,2016-06-24,"Anurag Kashyap"
236,tt3678782,2024-11-23,2024-11-23,,"Badlapur","Badlapur",https://www.imdb.com/title/tt3678782/,Movie,7.4,134,2015,"Action, Crime, Drama, Thriller",28261,2015-02-20,"Sriram Raghavan"
237,tt9813792,2024-11-25,2024-11-25,,"From","From",https://www.imdb.com/title/tt9813792/,TV Series,7.8,52,2022,"Drama, Horror, Mystery, Sci-Fi, Thriller",160453,2022-02-20,
238,tt23782140,2024-12-14,2024-12-14,,"Vaazhai","Vaazhai",https://www.imdb.com/title/tt23782140/,Movie,7.7,134,2024,"Drama",5344,2024-08-23,"Mari Selvaraj"
239,tt3742284,2024-12-14,2024-12-14,,"NH10","NH10",https://www.imdb.com/title/tt3742284/,Movie,7.2,115,2015,"Action, Crime, Drama, Thriller",14763,2015-03-13,"Navdeep Singh"
240,tt8458202,2024-12-15,2024-12-15,,"Pihu","Pihu",https://www.imdb.com/title/tt8458202/,Movie,6.7,91,2016,"Drama, Thriller",3132,2018-11-16,"Vinod Kapri"
241,tt12345200,2024-12-23,2024-12-23,,"Vezham","Vezham",https://www.imdb.com/title/tt12345200/,Movie,6.1,120,2022,"Drama",506,2022-06-24,"Sandeep Shyam"
242,tt33477418,2024-12-24,2024-12-24,,"Like Aani Subscribe","Like Aani Subscribe",https://www.imdb.com/title/tt33477418/,Movie,7.2,140,2024,"Mystery",6212,2024-10-18,"Abhishek Merukar"
243,tt33298502,2024-12-29,2024-12-29,,"Black","Black",https://www.imdb.com/title/tt33298502/,Movie,7.1,115,2024,"Horror, Mystery, Sci-Fi, Thriller",3136,2024-10-11,"Balasubramani KG"
244,tt27853611,2024-12-29,2024-12-29,,"Max","Max",https://www.imdb.com/title/tt27853611/,Movie,7.1,132,2024,"Action",3791,2024-12-25,"Vijay Karthikeyan"
245,tt5501124,2025-01-02,2025-01-02,,"Lapachhapi","Lapachhapi",https://www.imdb.com/title/tt5501124/,Movie,7.6,120,2017,"Drama, Horror, Mystery, Thriller",944,2017-07-14,"Vishal Furia"
246,tt26758372,2025-01-05,2025-01-05,,"Meiyazhagan","Meiyazhagan",https://www.imdb.com/title/tt26758372/,Movie,8.5,177,2024,"Drama, Family",21018,2024-09-27,"C. Prem Kumar"
247,tt11772746,2025-01-14,2025-01-14,,"Thiruchitrambalam","Thiruchitrambalam",https://www.imdb.com/title/tt11772746/,Movie,7.9,131,2022,"Comedy, Drama, Musical, Romance",18394,2022-08-18,"Mithran Jawahar"
248,tt15716624,2025-01-19,2025-01-19,,"Vilangu","Vilangu",https://www.imdb.com/title/tt15716624/,TV Series,8.0,40,2022,"Drama, Mystery, Thriller",5491,2022-02-18,
249,tt10208198,2025-01-22,2025-01-22,,"The Gangster, the Cop, the Devil","Akinjeon",https://www.imdb.com/title/tt10208198/,Movie,7.0,109,2019,"Action, Crime, Thriller",31521,2019-11-15,"Lee Won-tae"
250,tt32495687,2025-01-23,2025-01-23,,"Sookshma Darshini","Sookshmadarshini",https://www.imdb.com/title/tt32495687/,Movie,7.8,142,2024,"Comedy, Mystery, Thriller",12257,2024-11-22,"Mc Jithin"
251,tt10671436,2025-02-01,2025-02-01,,"Barot House","Barot House",https://www.imdb.com/title/tt10671436/,Movie,7.2,89,2019,"Mystery, Thriller",2048,2019-08-07,"Bugs Bhargava Krishna"
252,tt2621000,2025-02-25,2025-02-25,,"Jolly LLB","Jolly LLB",https://www.imdb.com/title/tt2621000/,Movie,7.5,135,2013,"Comedy, Crime, Drama",24782,2013-03-15,"Subhash Kapoor"
253,tt25433734,2025-03-06,2025-03-06,,"Hi Nanna","Hi Nanna",https://www.imdb.com/title/tt25433734/,Movie,8.3,155,2023,"Drama, Family, Romance",25183,2023-12-07,"Shouryuv"
254,tt23577326,2025-03-09,2025-03-09,,"I Am Kathalan","I Am Kathalan",https://www.imdb.com/title/tt23577326/,Movie,6.7,115,2024,"Comedy, Thriller",1447,2024-11-07,"Girish A.D."
255,tt6067752,2025-03-23,2025-03-23,,"Lucifer","Lucifer",https://www.imdb.com/title/tt6067752/,Movie,7.5,175,2019,"Action, Crime, Drama, Thriller",15709,2019-03-29,"Prithviraj Sukumaran"
256,tt32284154,2025-04-07,2025-04-07,,"Rekhachithram","Rekhachithram",https://www.imdb.com/title/tt32284154/,Movie,7.8,147,2025,"Drama, Mystery, Thriller",16585,2025-01-09,"Jofin T. Chacko"
257,tt34388152,2025-04-07,2025-04-07,,"Officer on Duty","Officer on Duty",https://www.imdb.com/title/tt34388152/,Movie,7.5,134,2025,"Action, Crime, Thriller",10841,2025-02-20,"Jithu Ashraf"
258,tt10505918,2025-04-07,2025-04-07,,"L2: Empuraan","L2: Empuraan",https://www.imdb.com/title/tt10505918/,Movie,6.2,179,2025,"Action, Crime, Thriller",13682,2025-03-27,"Prithviraj Sukumaran"
259,tt30089457,2025-04-09,2025-04-09,,"Ponman","Ponman",https://www.imdb.com/title/tt30089457/,Movie,7.4,125,2025,"Comedy, Drama",8213,2025-01-30,"Jotish Shankar"
260,tt29461220,2025-04-12,2025-04-12,,"Pani","Pani",https://www.imdb.com/title/tt29461220/,Movie,6.9,143,2024,"Action, Crime, Drama, Thriller",3721,2024-10-24,"Joju George"
261,tt29608092,2025-04-12,2025-04-12,,"Gumasthan","Gumasthan",https://www.imdb.com/title/tt29608092/,Movie,5.9,145,2024,"Crime, Thriller",593,2024-09-27,"Amal K. Joby"
262,tt5335128,2025-04-27,2025-04-27,,"Kali","Kali",https://www.imdb.com/title/tt5335128/,Movie,6.9,115,2016,"Action, Drama, Thriller",5829,2016-04-08,"Sameer Thahir"
263,tt31969600,2025-05-01,2025-05-01,,"Thudarum","Thudarum",https://www.imdb.com/title/tt31969600/,Movie,7.5,163,2025,"Action, Drama",13474,2025-04-25,"Tharun Moorthy"
264,tt2283748,2025-05-03,2025-05-03,,"OMG: Oh My God!","OMG: Oh My God!",https://www.imdb.com/title/tt2283748/,Movie,8.1,125,2012,"Comedy, Drama, Fantasy",70277,2012-09-28,"Umesh Shukla"
265,tt0119217,2025-05-04,2025-05-04,,"Good Will Hunting","Good Will Hunting",https://www.imdb.com/title/tt0119217/,Movie,8.3,126,1997,"Drama, Romance",1183061,1998-03-06,"Gus Van Sant"
266,tt33307144,2025-05-06,2025-05-06,,"Court - State Vs. A Nobody","Court: State vs. A Nobody",https://www.imdb.com/title/tt33307144/,Movie,7.9,155,2025,"Drama",11425,2025-03-14,"Ram Jagadeesh"
267,tt25153418,2025-05-08,2025-05-08,,"Purusha Pretham","Purusha Pretham",https://www.imdb.com/title/tt25153418/,Movie,7.2,153,2023,"Comedy, Crime, Drama, Mystery",1623,2023-03-24,"Krishand"
268,tt5548032,2025-05-14,2025-05-14,,"Oppam","Oppam",https://www.imdb.com/title/tt5548032/,Movie,7.3,143,2016,"Action, Thriller",4815,2016-09-08,"Priyadarshan"
269,tt1787988,2025-05-19,2025-05-19,,"Talaash","Talaash",https://www.imdb.com/title/tt1787988/,Movie,7.3,140,2012,"Crime, Drama, Mystery, Thriller",48122,2012-11-30,"Reema Kagti"
270,tt32539176,2025-05-23,2025-05-23,,"Praavinkoodu Shappu","Praavinkoodu Shappu",https://www.imdb.com/title/tt32539176/,Movie,6.6,146,2025,"Thriller",3305,2025-01-16,"Sreeraj Sreenivasan"
271,tt17526714,2025-05-24,2025-05-24,,"The Substance","The Substance",https://www.imdb.com/title/tt17526714/,Movie,7.2,141,2024,"Drama, Horror, Sci-Fi",379574,2024-09-20,"Coralie Fargeat"
272,tt7919680,2025-05-26,2025-05-26,,"Karwaan","Karwaan",https://www.imdb.com/title/tt7919680/,Movie,7.6,114,2018,"Adventure, Comedy, Drama",20017,2018-08-03,"Akarsh Khurana"
273,tt1119646,2025-05-28,2025-05-28,,"The Hangover","The Hangover",https://www.imdb.com/title/tt1119646/,Movie,7.7,100,2009,"Comedy",912778,2009-06-12,"Todd Phillips"
274,tt23804696,2025-06-01,2025-06-01,,"Hit: The Third Case","HIT: The 3rd Case",https://www.imdb.com/title/tt23804696/,Movie,6.9,154,2025,"Action, Crime, Thriller",13307,2025-05-01,"Sailesh Kolanu"
275,tt1411697,2025-06-04,2025-06-04,,"The Hangover Part II","The Hangover Part II",https://www.imdb.com/title/tt1411697/,Movie,6.5,102,2011,"Comedy",568829,2011-05-26,"Todd Phillips"
276,tt21440238,2025-06-07,2025-06-07,,"Ini Utharam","Ini Utharam",https://www.imdb.com/title/tt21440238/,Movie,6.4,126,2022,"Thriller",1159,2022-12-23,"Sudeesh Ramachandran"
277,tt32919734,2025-06-14,2025-06-14,,"Padakkalam","Padakkalam",https://www.imdb.com/title/tt32919734/,Movie,7.2,124,2025,"Comedy",7110,2025-05-23,"Manu Swaraj"
278,tt34915705,2025-06-14,2025-06-14,,"Tourist Family","Tourist Family",https://www.imdb.com/title/tt34915705/,Movie,8.2,150,2025,"Comedy, Drama",13756,2025-05-01,"Abishan Jeevinth, Harish Durairaj, Madhan"
279,tt28679253,2025-06-15,2025-06-15,,"Eleven","Eleven",https://www.imdb.com/title/tt28679253/,Movie,7.4,135,2025,"Crime, Mystery, Thriller",11564,2025-05-16,"Lokkesh Ajls"
280,tt19874970,2025-06-26,2025-06-26,,"Blink","Blink",https://www.imdb.com/title/tt19874970/,Movie,6.9,136,2024,"Sci-Fi, Thriller",1683,2024-03-08,"Srinidhi Bengaluru"
281,tt11322920,2025-07-03,2025-07-03,,"Ayappanu Koshium","Ayyappanum Koshiyum",https://www.imdb.com/title/tt11322920/,Movie,8.0,177,2020,"Action, Drama, Thriller",12157,2020-02-14,"Sachy"
282,tt1951261,2025-07-04,2025-07-04,,"The Hangover Part III","The Hangover Part III",https://www.imdb.com/title/tt1951261/,Movie,5.9,100,2013,"Comedy, Crime",357099,2013-05-24,"Todd Phillips"
283,tt7892050,2025-07-05,2025-07-05,,"Chekka Chivantha Vaanam","Chekka Chivantha Vaanam",https://www.imdb.com/title/tt7892050/,Movie,7.2,146,2018,"Action, Drama, Thriller",7402,2018-09-28,"Mani Ratnam"
284,tt9421570,2025-07-07,2025-07-07,,"The Guilty","The Guilty",https://www.imdb.com/title/tt9421570/,Movie,6.3,90,2021,"Crime, Drama, Thriller",169883,2021-10-01,"Antoine Fuqua"
285,tt29884526,2025-07-13,2025-07-13,,"Alappuzha Gymkhana","Alappuzha Gymkhana",https://www.imdb.com/title/tt29884526/,Movie,6.8,139,2025,"Action, Comedy, Drama",4846,2025-04-10,"Khalid Rahman"
286,tt35694565,2025-07-20,2025-07-20,,"#Single","#Single",https://www.imdb.com/title/tt35694565/,Movie,6.2,129,2025,"Romance",3042,2025-05-09,"Caarthick Raju"
287,tt27957740,2025-07-20,2025-07-20,,"Daaku Maharaaj","Daaku Maharaaj",https://www.imdb.com/title/tt27957740/,Movie,5.9,150,2025,"Action, Adventure, Crime, Drama, Thriller",5089,2025-01-11,"Bobby Kolli"
288,tt37629310,2025-08-08,2025-08-08,,"Su from So","Su from So",https://www.imdb.com/title/tt37629310/,Movie,7.7,137,2025,"Comedy, Horror",7308,2025-08-01,"J.P. Tuminadu"
289,tt31036941,2025-08-08,2025-08-08,,"Jurassic World: Rebirth","Jurassic World: Rebirth",https://www.imdb.com/title/tt31036941/,Movie,5.9,133,2025,"Action, Adventure, Sci-Fi, Thriller",162993,2025-07-02,"Gareth Edwards"
290,tt3175038,2025-08-08,2025-08-08,,"Ek Villain","Ek Villain",https://www.imdb.com/title/tt3175038/,Movie,6.6,129,2014,"Action, Crime, Drama, Romance, Thriller",24905,2014-06-27,"Mohit Suri"
291,tt15333916,2025-08-17,2025-08-17,,"Edagaiye Apaghatakke Karana","Edagaiye Apaghatakke Karana",https://www.imdb.com/title/tt15333916/,Movie,6.5,122,2025,"Comedy",365,2025-06-13,"Samarth Kadkol"
292,tt36507686,2025-08-27,2025-08-27,,"Ayyana Mane","Ayyana Mane",https://www.imdb.com/title/tt36507686/,TV Mini Series,6.9,,2025,"Mystery, Thriller",589,2025-04-25,
293,tt22898462,2025-09-09,2025-09-09,,"The Conjuring: Last Rites","The Conjuring: Last Rites",https://www.imdb.com/title/tt22898462/,Movie,6.2,135,2025,"Horror, Mystery, Thriller",82016,2025-09-05,"Michael Chaves"
294,tt33372494,2025-09-09,2025-09-09,,"Lokah Chapter One: Chandra","Lokah Chapter 1: Chandra",https://www.imdb.com/title/tt33372494/,Movie,7.7,151,2025,"Action, Fantasy",17520,2025-08-28,"Dominic Arun"
295,tt29383191,2025-09-20,2025-09-20,,"Maareesan","Maareesan",https://www.imdb.com/title/tt29383191/,Movie,7.4,150,2025,"Comedy, Drama, Thriller",8710,2025-07-25,"Sudheesh Sankar"
296,tt2436516,2025-10-14,2025-10-14,,"Go Goa Gone","Go Goa Gone",https://www.imdb.com/title/tt2436516/,Movie,6.7,108,2013,"Action, Adventure, Comedy, Horror, Sci-Fi",16777,2013-05-10,"Krishna D.K., Raj Nidimoru"
297,tt34335405,2025-10-14,2025-10-14,,"Soothravakyam","Soothravakyam",https://www.imdb.com/title/tt34335405/,Movie,7.4,108,2025,"Drama",3734,2025-07-11,"Eugien Jos Chirammel"
298,tt23846482,2025-10-27,2025-10-27,,"Kuberaa","Kuberaa",https://www.imdb.com/title/tt23846482/,Movie,6.4,181,2025,"Action, Crime, Drama, Thriller",8832,2025-06-19,"Sekhar Kammula"
299,tt29471661,2025-10-29,2025-10-29,,"DNA","DNA",https://www.imdb.com/title/tt29471661/,Movie,7.2,140,2025,,2567,2025-07-27,"Nelson Venkatesan"
300,tt7019842,2025-10-29,2025-10-29,,"96","96",https://www.imdb.com/title/tt7019842/,Movie,8.5,158,2018,"Drama, Romance",43715,2018-10-05,"C. Prem Kumar"
301,tt32065993,2025-11-02,2025-11-02,,"Marana Mass","Marana Mass",https://www.imdb.com/title/tt32065993/,Movie,6.5,139,2025,"Comedy",3784,2025-05-15,"Sivaprasad, Binu Narayan"
302,tt15654262,2025-11-15,2025-11-15,,"Chup - The Revenge of an Artist","Chup",https://www.imdb.com/title/tt15654262/,Movie,7.5,135,2022,"Drama, Horror, Mystery, Thriller",27338,2022-09-23,"R Balki"
303,tt35529436,2025-11-16,2025-11-16,,"Vash Level 2","Vash Level 2",https://www.imdb.com/title/tt35529436/,Movie,7.3,103,2025,"Horror, Thriller",4032,2025-08-27,"Krishnadev Yagnik"
304,tt36616410,2025-12-07,2025-12-07,,"Eko","Eko",https://www.imdb.com/title/tt36616410/,Movie,8.3,125,2025,,2083,2025-11-21,"Dinjith Ayyathan"
305,tt36388163,2025-12-07,2025-12-07,,"Dude","Dude",https://www.imdb.com/title/tt36388163/,Movie,6.3,140,2025,"Action, Comedy, Drama, Romance",7458,2025-10-17,"Keerthiswaran"
306,tt6079516,2025-12-07,2025-12-07,,"I See You","I See You",https://www.imdb.com/title/tt6079516/,Movie,6.8,98,2019,"Horror, Mystery, Thriller",74221,2025-10-01,"Adam Randall"
